City,Latitude,Longitude
Bhiwani,28.783333333,76.133333333
Bhiwani,28.793055555,76.139722222
Bhuj,23.25,69.67
Bhuj,23.253888888,69.669166666
Budaun,28.05,79.12
Barmer,25.744444444,71.397222222
Barwani,22.03,74.9
Barwani,22.032222222,74.899722222
Beed,18.9904059,75.7542291
Karur,10.96,78.075
Dwarka,22.240277777,68.968611111
Tiruppur,11.1075,77.3398
Faizabad,26.783333333,82.133333333
Machilipatnam,16.166666666,81.133333333
Nagercoil,8.1875,77.429444444
Dindigul,10.362,77.973611111
Nanded,19.15,77.333333333
Bina-Etawa,24.18,78.2
Biswanath Chariali,26.727777777,93.151666666
Bilaspur,22.15,82.016666666
Bilaspur,22.08,82.155555555
Chandrapur,19.95,79.3
Bulandshahr,28.406944444,77.849722222
Bokaro Steel City,23.67,86.15
Bundi,25.438333333,75.637222222
Attari,31.600833333,74.605555555
Moreh,24.24779,94.30368
Behiang,24.007072222,93.557675
"Bhimnagar, Supaul",26.4983,86.9659
Dawki,25.18333333,92.01666667
Galgalia,26.5273,88.1134
Gauriphanta,28.68113,80.55434
Hussainiwala,30.99765556,74.54711667
Jarwa,27.65,82.516666666
Khunwa,27.4558,82.9936
Kunauli,26.4,86.7
Munabao,25.75,70.2833
Nampong,27.28,96.13
Phulbari,26.6363,88.4166
Rupaidiha,28.0218,81.6021
Sonauli,27.473806,83.46913
Sukhiapokhri,27.0,88.14
Sursand,26.65,85.7167
Hasimara,26.75,89.35
Patan,23.85,72.116666666
Malegaon,20.549722222,74.534722222
Malegaon,20.55,74.55
Bachhraon,28.93,78.22
Ichalkaranji,16.7,74.47
Anjangaon,21.16516,77.3091
Ambernath,19.209,73.186
Udupi,13.332222222,74.746111111
Udupi,13.33467,74.74617
Avadi,13.12,80.1
Amroha,28.9044,78.4675
Anupshahr,28.37,78.27
Arrah,25.563055555,84.671111111
Anklav,22.391269444,72.99455
Ashoknagar,24.34,77.43
Amreli,21.616666666,71.233333333
Akhnoor,32.86667,74.73333
Akhnoor,32.9,74.735277777
Auroville,12.001793,79.800943
Burhanpur,21.3,76.226667
